dex_number,name,german_name,region,type_1,type_2,available_in_pogo,location_restriction,last_event,last_event_date,extra_info
444,Gabite,Knarksel,sinnoh,dragon,ground,yes,,,,
445,Garchomp,Knakrack,sinnoh,dragon,ground,yes,,,,
446,Munchlax,Mampfaxo,sinnoh,normal,,yes,,,,
447,Riolu,Riolu,sinnoh,fighting,,yes,,,,
448,Lucario,Lucario,sinnoh,fighting,steel,yes,,,,
449,Hippopotas,Hippopotas,sinnoh,ground,,yes,,,,
450,Hippowdon,Hippoterus,sinnoh,ground,,yes,,,,
451,Skorupi,Pionskora,sinnoh,poison,bug,yes,,,,
452,Drapion,Piondragi,sinnoh,poison,dark,yes,,,,
453,Croagunk,Glibunkel,sinnoh,poison,fighting,yes,,,,
454,Toxicroak,Toxiquak,sinnoh,poison,fighting,yes,,,,
455,Carnivine,Venuflibis,sinnoh,grass,,yes,Southeast United States,,,
456,Finneon,Finneon,sinnoh,water,,yes,,,,
457,Lumineon,Lumineon,sinnoh,water,,yes,,,,
458,Mantyke,Mantirps,sinnoh,water,flying,yes,,,,
459,Snover,Shnebedeck,sinnoh,grass,ice,yes,,,,
460,Abomasnow,Rexblisar,sinnoh,grass,ice,yes,,,,
461,Weavile,Snibunna,sinnoh,dark,ice,yes,,,,
462,Magnezone,Magnezone,sinnoh,electric,steel,yes,,,,
463,Lickilicky,Schlurplek,sinnoh,normal,,yes,,,,
464,Rhyperior,Rihornior,sinnoh,ground,rock,yes,,,,
465,Tangrowth,Tangoloss,sinnoh,grass,,yes,,,,
466,Electivire,Elevoltek,sinnoh,electric,,yes,,,,
467,Magmortar,Magbrant,sinnoh,fire,,yes,,,,
468,Togekiss,Togekiss,sinnoh,fairy,flying,yes,,,,
469,Yanmega,Yanmega,sinnoh,bug,flying,yes,,,,
470,Leafeon,Folipurba,sinnoh,grass,,yes,,,,
471,Glaceon,Glaziola,sinnoh,ice,,yes,,,,
472,Gliscor,Skorgro,sinnoh,ground,flying,yes,,,,
473,Mamoswine,Mamutel,sinnoh,ice,ground,yes,,,,
474,Porygon-Z,Porygon-Z,sinnoh,normal,,yes,,,,
475,Gallade,Galagladi,sinnoh,psychic,fighting,yes,,,,
476,Probopass,Voluminas,sinnoh,rock,steel,yes,,,,
477,Dusknoir,Zwirrfinst,sinnoh,ghost,,yes,,,,
478,Froslass,Frosdedje,sinnoh,ice,ghost,yes,,,,
479,Rotom,Rotom,sinnoh,electric,ghost,yes,,,,
480,Uxie,Selfe,sinnoh,psychic,,yes,Asia-Pacific,,,
481,Mesprit,Vesprit,sinnoh,psychic,,yes,Europe / Middle East / Africa,,,
482,Azelf,Tobutz,sinnoh,psychic,,yes,Americas,,,
483,Dialga,Dialga,sinnoh,steel,dragon,yes,,,,
484,Palkia,Palkia,sinnoh,water,dragon,yes,,,,
485,Heatran,Heatran,sinnoh,fire,steel,yes,,,,
486,Regigigas,Regigigas,sinnoh,normal,,yes,,,,
487,Giratina,Giratina,sinnoh,ghost,dragon,yes,,,,
488,Cresselia,Cresselia,sinnoh,psychic,,yes,,,,
489,Phione,Phione,sinnoh,water,,no,,,,
490,Manaphy,Manaphy,sinnoh,water,,no,,,,
491,Darkrai,Darkrai,sinnoh,dark,,yes,,,,
492,Shaymin,Shaymin,sinnoh,grass,,yes,,,,
493,Arceus,Arceus,sinnoh,normal,,no,,,,
494,Victini,Victini,unova,psychic,fire,yes,,,,
495,Snivy,Serpifeu,unova,grass,,yes,,Community Day 48,2021-12-18,
496,Servine,Efoserp,unova,grass,,yes,,,,
497,Serperior,Serpiroyal,unova,grass,,yes,,,,
498,Tepig,Floink,unova,fire,,yes,,Community Day 48,2021-12-18,
499,Pignite,Ferkokel,unova,fire,fighting,yes,,,,
500,Emboar,Flambirex,unova,fire,fighting,yes,,,,
501,Oshawott,Ottaro,unova,water,,yes,,Community Day 48,2021-12-18,
502,Dewott,Zwottronin,unova,water,,yes,,,,
503,Samurott,Admurai,unova,water,,yes,,,,
504,Patrat,Nagelotz,unova,normal,,yes,,,,
505,Watchog,Kukmarda,unova,normal,,yes,,,,
506,Lillipup,Yorkleff,unova,normal,,yes,,,,
507,Herdier,Terribark,unova,normal,,yes,,,,
508,Stoutland,Bissbark,unova,normal,,yes,,,,
509,Purrloin,Felilou,unova,dark,,yes,,,,
510,Liepard,Kleoparda,unova,dark,,yes,,,,
511,Pansage,Vegimak,unova,grass,,yes,Asia-Pacific,,,
512,Simisage,Vegichita,unova,grass,,yes,,,,
513,Pansear,Grillmak,unova,fire,,yes,Europe / Middle East / Africa,,,
514,Simisear,Grillchita,unova,fire,,yes,,,,
515,Panpour,Sodamak,unova,water,,yes,Americas,,,
516,Simipour,Sodachita,unova,water,,yes,,,,
517,Munna,Somniam,unova,psychic,,yes,,,,
518,Musharna,Somnivora,unova,psychic,,yes,,,,
519,Pidove,Dusselgurr,unova,normal,flying,yes,,,,
520,Tranquill,Navitaub,unova,normal,flying,yes,,,,
521,Unfezant,Fasasnob,unova,normal,flying,yes,,,,
522,Blitzle,Elezeba,unova,electric,,yes,,,,
523,Zebstrika,Zebritz,unova,electric,,yes,,,,
524,Roggenrola,Kiesling,unova,rock,,yes,,Community Day 60,2022-12-17,
525,Boldore,Sedimantur,unova,rock,,yes,,,,
526,Gigalith,Brockoloss,unova,rock,,yes,,,,
527,Woobat,Fleknoil,unova,psychic,flying,yes,,,,
528,Swoobat,Fletiamo,unova,psychic,flying,yes,,,,
529,Drilbur,Rotomurf,unova,ground,,yes,,,,
530,Excadrill,Stalobor,unova,ground,steel,yes,,,,
531,Audino,Ohrdoch,unova,normal,,yes,,,,
532,Timburr,Praktibalk,unova,fighting,,yes,,Community Day 72,2023-12-16,
533,Gurdurr,Strepoli,unova,fighting,,yes,,,,
534,Conkeldurr,Meistagrif,unova,fighting,,yes,,,,
535,Tympole,Schallquap,unova,water,,yes,,,,
536,Palpitoad,Mebrana,unova,water,ground,yes,,,,
537,Seismitoad,Branawarz,unova,water,ground,yes,,,,
538,Throh,Jiutesto,unova,fighting,,yes,Europe / Middle East / Africa,,,
539,Sawk,Karadonis,unova,fighting,,yes,Americas,,,
540,Sewaddle,Strawickl,unova,bug,grass,yes,,,,
541,Swadloon,Folikon,unova,bug,grass,yes,,,,
542,Leavanny,Matrifol,unova,bug,grass,yes,,,,
543,Venipede,Toxiped,unova,bug,poison,yes,,,,
544,Whirlipede,Rollum,unova,bug,poison,yes,,,,
545,Scolipede,Cerapendra,unova,bug,poison,yes,,,,
546,Cottonee,Waumboll,unova,grass,fairy,yes,,,,
547,Whimsicott,Elfun,unova,grass,fairy,yes,,,,
548,Petilil,Lilminip,unova,grass,,yes,,,,
549,Lilligant,Dressella,unova,grass,,yes,,,,
550,Basculin,Barschuft,unova,water,,yes,Americas,,,
551,Sandile,Ganovil,unova,ground,dark,yes,,,,
552,Krokorok,Rokkaiman,unova,ground,dark,yes,,,,
553,Krookodile,Rabigator,unova,ground,dark,yes,,,,
554,Darumaka,Flampion,unova,fire,,yes,,,,
555,Darmanitan,Flampivian,unova,fire,,yes,,,,
556,Maractus,Maracamba,unova,grass,,yes,Southern United States / Mexico,,,
557,Dwebble,Lithomith,unova,bug,rock,yes,,,,
558,Crustle,Castellith,unova,bug,rock,yes,,,,
559,Scraggy,Zurrokex,unova,dark,fighting,yes,,,,
560,Scrafty,Irokex,unova,dark,fighting,yes,,,,
561,Sigilyph,Symvolara,unova,psychic,flying,yes,Africa / Mediterranean,,,
562,Yamask,Makabaja,unova,ghost,,yes,,,,
563,Cofagrigus,Echnatoll,unova,ghost,,yes,,,,
564,Tirtouga,Galapaflos,unova,water,rock,yes,,,,
565,Carracosta,Karippas,unova,water,rock,yes,,,,
566,Archen,Flapteryx,unova,rock,flying,yes,,,,
567,Archeops,Aeropteryx,unova,rock,flying,yes,,,,
568,Trubbish,Unratütox,unova,poison,,yes,,,,
569,Garbodor,Deponitox,unova,poison,,yes,,,,
570,Zorua,Zorua,unova,dark,,yes,,,,
571,Zoroark,Zoroark,unova,dark,,yes,,,,
572,Minccino,Picochilla,unova,normal,,yes,,,,
573,Cinccino,Chillabell,unova,normal,,yes,,,,
574,Gothita,Mollimorba,unova,psychic,,yes,,,,
575,Gothorita,Hypnomorba,unova,psychic,,yes,,,,
576,Gothitelle,Morbitesse,unova,psychic,,yes,,,,
577,Solosis,Monozyto,unova,psychic,,yes,,,,
578,Duosion,Mitodos,unova,psychic,,yes,,,,
579,Reuniclus,Zytomega,unova,psychic,,yes,,,,
580,Ducklett,Piccolente,unova,water,flying,yes,,,,
581,Swanna,Swaroness,unova,water,flying,yes,,,,
582,Vanillite,Gelatini,unova,ice,,yes,,,,
583,Vanillish,Gelatroppo,unova,ice,,yes,,,,
584,Vanilluxe,Gelatwino,unova,ice,,yes,,,,
585,Deerling,Sesokitz,unova,normal,grass,yes,,,,
586,Sawsbuck,Kronjuwild,unova,normal,grass,yes,,,,
587,Emolga,Emolga,unova,electric,flying,yes,,,,
588,Karrablast,Laukaps,unova,bug,,yes,,,,
589,Escavalier,Cavalanzas,unova,bug,steel,yes,,,,
590,Foongus,Tarnpignon,unova,grass,poison,yes,,,,
591,Amoonguss,Hutsassa,unova,grass,poison,yes,,,,
592,Frillish,Quabbel,unova,water,ghost,yes,,,,
593,Jellicent,Apoquallyp,unova,water,ghost,yes,,,,
594,Alomomola,Mamolida,unova,water,,yes,,,,
595,Joltik,Wattzapf,unova,bug,electric,yes,,,,
596,Galvantula,Voltula,unova,bug,electric,yes,,,,
597,Ferroseed,Kastadur,unova,grass,steel,yes,,,,
598,Ferrothorn,Tentantel,unova,grass,steel,yes,,,,
599,Klink,Klikk,unova,steel,,yes,,,,
600,Klang,Kliklak,unova,steel,,yes,,,,
601,Klinklang,Klikdiklak,unova,steel,,yes,,,,
602,Tynamo,Zapplardin,unova,electric,,yes,,Community Day 79,2024-07-21,
603,Eelektrik,Zapplalek,unova,electric,,yes,,,,
604,Eelektross,Zapplarang,unova,electric,,yes,,,,
605,Elgyem,Pygraulon,unova,psychic,,yes,,,,
606,Beheeyem,Megalon,unova,psychic,,yes,,,,
607,Litwick,Lichtel,unova,ghost,fire,yes,,Community Day 60,2022-12-17,
608,Lampent,Laternecto,unova,ghost,fire,yes,,,,
609,Chandelure,Skelabra,unova,ghost,fire,yes,,,,
610,Axew,Milza,unova,dragon,,yes,,Community Day 72,2023-12-16,
611,Fraxure,Sharfax,unova,dragon,,yes,,,,
612,Haxorus,Maxax,unova,dragon,,yes,,,,
613,Cubchoo,Petznief,unova,ice,,yes,,,,
614,Beartic,Siberio,unova,ice,,yes,,,,
615,Cryogonal,Frigometri,unova,ice,,yes,,,,
616,Shelmet,Schnuthelm,unova,bug,,yes,,,,
617,Accelgor,Hydragil,unova,bug,,yes,,,,
618,Stunfisk,Flunschlik,unova,ground,electric,yes,,,,
619,Mienfoo,Lin-Fu,unova,fighting,,yes,,,,
620,Mienshao,Wie-Shu,unova,fighting,,yes,,,,
621,Druddigon,Shardrago,unova,dragon,,yes,,,,
622,Golett,Golbit,unova,ground,ghost,yes,,,,
623,Golurk,Golgantes,unova,ground,ghost,yes,,,,
624,Pawniard,Gladiantri,unova,dark,steel,yes,,,,
625,Bisharp,Caesurio,unova,dark,steel,yes,,,,
626,Bouffalant,Bisofank,unova,normal,,yes,New York City area,,,
627,Rufflet,Geronimatz,unova,normal,flying,yes,,,,
628,Braviary,Washakwil,unova,normal,flying,yes,,,,
629,Vullaby,Skallyk,unova,dark,flying,yes,,,,
630,Mandibuzz,Grypheldis,unova,dark,flying,yes,,,,
631,Heatmor,Furnifraß,unova,fire,,yes,"Europe, Asia, Australia",,,
632,Durant,Fermicula,unova,bug,steel,yes,Americas,,,
633,Deino,Kapuno,unova,dark,dragon,yes,,Community Day 60,2022-12-17,
634,Zweilous,Duodino,unova,dark,dragon,yes,,,,
635,Hydreigon,Trikephalo,unova,dark,dragon,yes,,,,
636,Larvesta,Ignivor,unova,bug,fire,yes,,,,
637,Volcarona,Ramoth,unova,bug,fire,yes,,,,
638,Cobalion,Kobalium,unova,steel,fighting,yes,,,,
639,Terrakion,Terrakium,unova,rock,fighting,yes,,,,
640,Virizion,Viridium,unova,grass,fighting,yes,,,,
641,Tornadus,Boreos,unova,flying,,yes,,,,
642,Thundurus,Voltolos,unova,electric,flying,yes,,,,
643,Reshiram,Reshiram,unova,dragon,fire,yes,,,,
644,Zekrom,Zekrom,unova,dragon,electric,yes,,,,
645,Landorus,Demeteros,unova,ground,flying,yes,,,,
646,Kyurem,Kyurem,unova,dragon,ice,yes,,,,
647,Keldeo,Keldeo,unova,water,fighting,yes,,,,
648,Meloetta,Meloetta,unova,normal,psychic,yes,,,,
649,Genesect,Genesect,unova,bug,steel,yes,,,,
650,Chespin,Igamaro,kalos,grass,,yes,,Community Day 72,2023-12-16,
651,Quilladin,Igastarnish,kalos,grass,,yes,,,,
652,Chesnaught,Brigaron,kalos,grass,fighting,yes,,,,
653,Fennekin,Fynx,kalos,fire,,yes,,Community Day 72,2023-12-16,
654,Braixen,Rutena,kalos,fire,,yes,,,,
655,Delphox,Fennexis,kalos,fire,psychic,yes,,,,
656,Froakie,Froxy,kalos,water,,yes,,Community Day 72,2023-12-16,
657,Frogadier,Amphizel,kalos,water,,yes,,,,
658,Greninja,Quajutsu,kalos,water,dark,yes,,,,
659,Bunnelby,Scoppel,kalos,normal,,yes,,,,
660,Diggersby,Grebbit,kalos,normal,ground,yes,,,,
661,Fletchling,Dartiri,kalos,normal,flying,yes,,Community Day 48,2021-12-18,
662,Fletchinder,Dartignis,kalos,fire,flying,yes,,,,
663,Talonflame,Fiaro,kalos,fire,flying,yes,,,,
664,Scatterbug,Purmel,kalos,bug,,yes,,,,
665,Spewpa,Puponcho,kalos,bug,,yes,,,,
666,Vivillon,Vivillon,kalos,bug,flying,yes,,,,
667,Litleo,Leufeo,kalos,fire,normal,yes,,,,
668,Pyroar,Pyroleo,kalos,fire,normal,yes,,,,
669,Flabébé,Flabébé,kalos,fairy,,yes,,,,
670,Floette,Floette,kalos,fairy,,yes,,,,
671,Florges,Florges,kalos,fairy,,yes,,,,
672,Skiddo,Mähikel,kalos,grass,,yes,,,,
673,Gogoat,Chevrumm,kalos,grass,,yes,,,,
674,Pancham,Pam-Pam,kalos,fighting,,yes,,,,
675,Pangoro,Pandagro,kalos,fighting,dark,yes,,,,
676,Furfrou,Coiffwaff,kalos,normal,,yes,,,,
677,Espurr,Psiau,kalos,psychic,,yes,,,,
678,Meowstic,Psiaugon,kalos,psychic,,yes,,,,
679,Honedge,Gramokles,kalos,steel,ghost,yes,,,,
680,Doublade,Duokles,kalos,steel,ghost,yes,,,,
681,Aegislash,Durengard,kalos,steel,ghost,yes,,,,
682,Spritzee,Parfi,kalos,fairy,,yes,,,,
683,Aromatisse,Parfinesse,kalos,fairy,,yes,,,,
684,Swirlix,Flauschling,kalos,fairy,,yes,,,,
685,Slurpuff,Sabbaione,kalos,fairy,,yes,,,,
686,Inkay,Iscalar,kalos,dark,psychic,yes,,,,
687,Malamar,Calamanero,kalos,dark,psychic,yes,,,,
688,Binacle,Bithora,kalos,rock,water,yes,,,,
689,Barbaracle,Thanathora,kalos,rock,water,yes,,,,
690,Skrelp,Algitt,kalos,poison,water,yes,,,,
691,Dragalge,Tandrak,kalos,poison,dragon,yes,,,,
692,Clauncher,Scampisto,kalos,water,,yes,,,,
693,Clawitzer,Wummer,kalos,water,,yes,,,,
694,Helioptile,Eguana,kalos,electric,normal,yes,,,,
695,Heliolisk,Elezard,kalos,electric,normal,yes,,,,
696,Tyrunt,Balgoras,kalos,rock,dragon,yes,,,,
697,Tyrantrum,Monargoras,kalos,rock,dragon,yes,,,,
698,Amaura,Amarino,kalos,rock,ice,yes,,,,
699,Aurorus,Amagarga,kalos,rock,ice,yes,,,,
700,Sylveon,Feelinara,kalos,fairy,,yes,,,,
701,Hawlucha,Resladero,kalos,fighting,flying,yes,Mexico,,,
702,Dedenne,Dedenne,kalos,electric,fairy,yes,,,,
703,Carbink,Rocara,kalos,rock,fairy,yes,,,,
704,Goomy,Viscora,kalos,dragon,,yes,,Community Day 78,2024-06-09,
705,Sliggoo,Viscargot,kalos,dragon,,yes,,,,
706,Goodra,Viscogon,kalos,dragon,,yes,,,,
707,Klefki,Clavion,kalos,steel,fairy,yes,Western Europe,,,
708,Phantump,Paragoni,kalos,ghost,grass,yes,,,,
709,Trevenant,Trombork,kalos,ghost,grass,yes,,,,
710,Pumpkaboo,Irrbis,kalos,ghost,grass,yes,,,,
711,Gourgeist,Pumpdjinn,kalos,ghost,grass,yes,,,,
712,Bergmite,Arktip,kalos,ice,,yes,,,,
713,Avalugg,Arktilas,kalos,ice,,yes,,,,
714,Noibat,eF-eM,kalos,flying,dragon,yes,,Community Day 72,2023-12-16,
715,Noivern,UHaFnir,kalos,flying,dragon,yes,,,,
716,Xerneas,Xerneas,kalos,fairy,,yes,,,,
717,Yveltal,Yveltal,kalos,dark,flying,yes,,,,
718,Zygarde,Zygarde,kalos,dragon,ground,yes,,,,
719,Diancie,Diancie,kalos,rock,fairy,yes,,,,
720,Hoopa,Hoopa,kalos,psychic,ghost,yes,,,,
721,Volcanion,Volcanion,kalos,fire,water,yes,,,,
722,Rowlet,Bauz,alola,grass,flying,yes,,Community Day 73,2024-01-06,
723,Dartrix,Arboretoss,alola,grass,flying,yes,,,,
724,Decidueye,Silvarro,alola,grass,ghost,yes,,,,
725,Litten,Flamiau,alola,fire,,yes,,Community Day 75,2024-03-16,
726,Torracat,Miezunder,alola,fire,,yes,,,,
727,Incineroar,Fuegro,alola,fire,dark,yes,,,,
728,Popplio,Robball,alola,water,,yes,,Community Day 80,2024-08-31,
729,Brionne,Marikeck,alola,water,,yes,,,,
730,Primarina,Primarene,alola,water,fairy,yes,,,,
731,Pikipek,Peppeck,alola,normal,flying,yes,,,,
732,Trumbeak,Trompeck,alola,normal,flying,yes,,,,
733,Toucannon,Tukanon,alola,normal,flying,yes,,,,
734,Yungoos,Mangunior,alola,normal,,yes,,,,
735,Gumshoos,Manguspektor,alola,normal,,yes,,,,
736,Grubbin,Mabula,alola,bug,,yes,,Community Day 72,2023-12-16,
737,Charjabug,Akkup,alola,bug,electric,yes,,,,
738,Vikavolt,Donarion,alola,bug,electric,yes,,,,
739,Crabrawler,Krabbox,alola,fighting,,yes,Americas,,,
740,Crabominable,Krawell,alola,fighting,ice,yes,Americas,,,
741,Oricorio,Choreogel,alola,fire,flying,yes,Americas,,,
742,Cutiefly,Wommel,alola,bug,fairy,yes,,,,
743,Ribombee,Bandelby,alola,bug,fairy,yes,,,,
744,Rockruff,Wuffels,alola,rock,,yes,,,,
745,Lycanroc,Wolwerock,alola,rock,,yes,,,,
746,Wishiwashi,Lusardin,alola,water,,no,,,,
747,Mareanie,Garstella,alola,poison,water,yes,,,,
748,Toxapex,Aggrostella,alola,poison,water,yes,,,,
749,Mudbray,Pampuli,alola,ground,,yes,,,,
750,Mudsdale,Pampross,alola,ground,,yes,,,,
751,Dewpider,Araqua,alola,water,bug,yes,,,,
752,Araquanid,Aranestro,alola,water,bug,yes,,,,
753,Fomantis,Imantis,alola,grass,,yes,,,,
754,Lurantis,Mantidea,alola,grass,,yes,,,,
755,Morelull,Bubungus,alola,grass,fairy,yes,,,,
756,Shiinotic,Lamellux,alola,grass,fairy,yes,,,,
757,Salandit,Molunk,alola,poison,fire,yes,,,,
758,Salazzle,Amfira,alola,poison,fire,yes,,,,
759,Stufful,Velursi,alola,normal,fighting,yes,,Community Day 60,2022-12-17,
760,Bewear,Kosturso,alola,normal,fighting,yes,,,,
761,Bounsweet,Frubberl,alola,grass,,yes,,Community Day 77,2024-05-19,
762,Steenee,Frubaila,alola,grass,,yes,,,,
763,Tsareena,Fruyal,alola,grass,,yes,,,,
764,Comfey,Curelei,alola,fairy,,yes,Hawaii,,,
765,Oranguru,Kommandutan,alola,normal,psychic,yes,Southern Hemisphere,,,
766,Passimian,Quartermak,alola,fighting,,yes,Northern Hemisphere,,,
767,Wimpod,Reißlaus,alola,bug,water,yes,,,,
768,Golisopod,Tectass,alola,bug,water,yes,,,,
769,Sandygast,Sankabuh,alola,ghost,ground,yes,,,,
770,Palossand,Colossand,alola,ghost,ground,yes,,,,
771,Pyukumuku,Gufa,alola,water,,no,,,,
772,Type: Null,Typ:Null,alola,normal,,no,,,,
773,Silvally,Amigento,alola,normal,,no,,,,
774,Minior,Meteno,alola,rock,flying,no,,,,
775,Komala,Koalelu,alola,normal,,yes,Australia,,,
776,Turtonator,Tortunator,alola,fire,dragon,yes,,,,
777,Togedemaru,Togedemaru,alola,electric,steel,yes,,,,
778,Mimikyu,Mimigma,alola,ghost,fairy,no,,,,
779,Bruxish,Knirfish,alola,water,psychic,yes,,,,
780,Drampa,Sen-Long,alola,normal,dragon,yes,,,,
781,Dhelmise,Moruda,alola,ghost,grass,yes,,,,
782,Jangmo-o,Miniras,alola,dragon,,yes,,,,
783,Hakamo-o,Mediras,alola,dragon,fighting,yes,,,,
784,Kommo-o,Grandiras,alola,dragon,fighting,yes,,,,
785,Tapu Koko,Kapu-Riki,alola,electric,fairy,yes,,,,
786,Tapu Lele,Kapu-Fala,alola,psychic,fairy,yes,,,,
787,Tapu Bulu,Kapu-Toro,alola,grass,fairy,yes,,,,
788,Tapu Fini,Kapu-Kime,alola,water,fairy,yes,,,,
789,Cosmog,Cosmog,alola,psychic,,yes,,,,
790,Cosmoem,Cosmovum,alola,psychic,,yes,,,,
791,Solgaleo,Solgaleo,alola,psychic,steel,yes,,,,
792,Lunala,Lunala,alola,psychic,ghost,yes,,,,
793,Nihilego,Anego,alola,rock,poison,yes,,,,
794,Buzzwole,Masskito,alola,bug,fighting,yes,,,,
795,Pheromosa,Schabelle,alola,bug,fighting,yes,,,,
796,Xurkitree,Voltriant,alola,electric,,yes,,,,
797,Celesteela,Kaguron,alola,steel,flying,yes,,,,
798,Kartana,Katagami,alola,grass,steel,yes,,,,
799,Guzzlord,Schlingking,alola,dark,dragon,yes,,,,
800,Necrozma,Necrozma,alola,psychic,,yes,,,,
801,Magearna,Magearna,alola,steel,fairy,no,,,,
802,Marshadow,Marshadow,alola,fighting,ghost,yes,,,,
803,Poipole,Venicro,alola,poison,,yes,,,,
804,Naganadel,Agoyon,alola,poison,dragon,yes,,,,
805,Stakataka,Muramura,alola,rock,steel,yes,,,,
806,Blacephalon,Kopplosio,alola,fire,ghost,yes,,,,
807,Zeraora,Zeraora,alola,electric,,no,,,,
808,Meltan,Meltan,unidentified,steel,,yes,,,,
809,Melmetal,Melmetal,unidentified,steel,,yes,,,,
810,Grookey,Chimpep,galar,grass,,yes,,,,
811,Thwackey,Chimstix,galar,grass,,yes,,,,
812,Rillaboom,Gortrom,galar,grass,,yes,,,,
813,Scorbunny,Hopplo,galar,fire,,yes,,,,
814,Raboot,Kickerlo,galar,fire,,yes,,,,
815,Cinderace,Liberlo,galar,fire,,yes,,,,
816,Sobble,Memmeon,galar,water,,yes,,,,
817,Drizzile,Phlegleon,galar,water,,yes,,,,
818,Inteleon,Intelleon,galar,water,,yes,,,,
819,Skwovet,Raffel,galar,normal,,yes,,,,
820,Greedent,Schlaraffel,galar,normal,,yes,,,,
821,Rookidee,Meikro,galar,flying,,yes,,,,
822,Corvisquire,Kranoviz,galar,flying,,yes,,,,
823,Corviknight,Krarmor,galar,flying,steel,yes,,,,
824,Blipbug,Sensect,galar,bug,,no,,,,
825,Dottler,Keradar,galar,bug,psychic,no,,,,
826,Orbeetle,Maritellit,galar,bug,psychic,no,,,,
827,Nickit,Kleptifux,galar,dark,,yes,,,,
828,Thievul,Gaunux,galar,dark,,yes,,,,
829,Gossifleur,Cottini,galar,grass,,yes,,,,
830,Eldegoss,Cottomi,galar,grass,,yes,,,,
831,Wooloo,Wolly,galar,normal,,yes,,,,
832,Dubwool,Zwollock,galar,normal,,yes,,,,
833,Chewtle,Kamehaps,galar,water,,no,,,,
834,Drednaw,Kamalm,galar,water,rock,no,,,,
835,Yamper,Voldi,galar,electric,,yes,,,,
836,Boltund,Bellektro,galar,electric,,yes,,,,
837,Rolycoly,Klonkett,galar,rock,,yes,,,,
838,Carkol,Wagong,galar,rock,fire,yes,,,,
839,Coalossal,Montecarbo,galar,rock,fire,yes,,,,
840,Applin,Knapfel,galar,grass,dragon,yes,,,,
841,Flapple,Drapfel,galar,grass,dragon,yes,,,,
842,Appletun,Schlapfel,galar,grass,dragon,yes,,,,
843,Silicobra,Salanga,galar,ground,,no,,,,
844,Sandaconda,Sanaconda,galar,ground,,no,,,,
845,Cramorant,Urgl,galar,flying,water,yes,,,,
846,Arrokuda,Pikuda,galar,water,,no,,,,
847,Barraskewda,Barrakiefa,galar,water,,no,,,,
848,Toxel,Toxel,galar,electric,poison,no,,,,
849,Toxtricity,Riffex,galar,electric,poison,no,,,,
850,Sizzlipede,Thermopod,galar,fire,bug,yes,,,,
851,Centiskorch,Infernopod,galar,fire,bug,yes,,,,
852,Clobbopus,Klopptopus,galar,fighting,,yes,,,,
853,Grapploct,Kaocto,galar,fighting,,yes,,,,
854,Sinistea,Fatalitee,galar,ghost,,no,,,,
855,Polteageist,Mortipot,galar,ghost,,yes,,,,
856,Hatenna,Brimova,galar,psychic,,yes,,,,
857,Hattrem,Brimano,galar,psychic,,yes,,,,
858,Hatterene,Silembrim,galar,psychic,fairy,yes,,,,
859,Impidimp,Bähmon,galar,dark,fairy,yes,,,,
860,Morgrem,Pelzebub,galar,dark,fairy,yes,,,,
861,Grimmsnarl,Olangaar,galar,dark,fairy,yes,,,,
862,Obstagoon,Barrikadax,galar,dark,normal,yes,,,,
863,Perrserker,Mauzinger,galar,steel,,yes,,,,
864,Cursola,Gorgasonn,galar,ghost,,yes,,,,
865,Sirfetch’d,Lauchzelot,galar,fighting,,yes,,,,
866,Mr. Rime,Pantifrost,galar,ice,psychic,yes,,,,
867,Runerigus,Oghnatoll,galar,ground,ghost,yes,,,,
868,Milcery,Hokumil,galar,fairy,,no,,,,
869,Alcremie,Pokusan,galar,fairy,,no,,,,
870,Falinks,Legios,galar,fighting,,yes,,,,
871,Pincurchin,Britzigel,galar,electric,,no,,,,
872,Snom,Snomnom,galar,ice,bug,yes,,,,
873,Frosmoth,Mottineva,galar,ice,bug,yes,,,,
874,Stonjourner,Humanolith,galar,rock,,yes,United Kingdom,,,
875,Eiscue,Kubuin,galar,ice,,no,Antarctic / polar,,,
876,Indeedee,Servol,galar,psychic,normal,yes,,,,
877,Morpeko,Morpeko,galar,electric,dark,yes,,,,
878,Cufant,Kupfanti,galar,steel,,no,,,,
879,Copperajah,Patinaraja,galar,steel,,no,,,,
880,Dracozolt,Lectragon,galar,electric,dragon,no,,,,
881,Arctozolt,Lecryodon,galar,electric,ice,no,,,,
882,Dracovish,Pescragon,galar,water,dragon,no,,,,
883,Arctovish,Pescryodon,galar,water,ice,no,,,,
884,Duraludon,Duraludon,galar,steel,dragon,yes,,,,
885,Dreepy,Grolldra,galar,dragon,ghost,yes,,,,
886,Drakloak,Phandra,galar,dragon,ghost,yes,,,,
887,Dragapult,Katapuldra,galar,dragon,ghost,yes,,,,
888,Zacian,Zacian,galar,fairy,,yes,,,,
889,Zamazenta,Zamazenta,galar,fighting,,yes,,,,
890,Eternatus,Endynalos,galar,poison,dragon,yes,,,,
891,Kubfu,Dakuma,galar,fighting,,yes,,,,
892,Urshifu,Wulaosu,galar,fighting,dark,yes,,,,
893,Zarude,Zarude,galar,dark,grass,yes,,,,
894,Regieleki,Regieleki,galar,electric,,yes,,,,
895,Regidrago,Regidrago,galar,dragon,,yes,,,,
896,Glastrier,Polaross,galar,ice,,no,,,,
897,Spectrier,Phantoross,galar,ghost,,no,,,,
898,Calyrex,Coronospa,galar,psychic,grass,no,,,,
